name,developer,publisher,release_date,tags,categories,rating_percent,reviews_count,price,current_players,24h_peak,all_time_peak
Counter-Strike 2,Valve,Valve,21.08.2012,FPS | Shooter | Multiplayer | Competitive | Action | Team-Based | eSports | Tactical | First-Person | PvP | Online Co-Op | Co-op | Strategy | Military | War | Difficult | Trading | Realistic | Fast-Paced | Moddable,Cross-Platform Multiplayer | Steam Trading Cards | Steam Workshop | In-App Purchases | Stats | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Steam Timeline | Multi-player | Valve Anti-Cheat | Cloud Gaming | Cloud Gaming (NVIDIA),86.04,9357964.0,5.39,664902,1427869,1862531
Dota 2,Valve,Valve,09.07.2013,Free to Play | MOBA | Multiplayer | Strategy | eSports | Team-Based | Competitive | Action | Online Co-Op | PvP | Difficult | Co-op | RTS | Tower Defense | RPG | Fantasy | Character Customization | Replay Value | Action RPG | Simulation,Steam Trading Cards | Steam Workshop | SteamVR Collectibles | In-App Purchases | Steam Timeline | Multi-player | Co-op | Valve Anti-Cheat | Cloud Gaming | Cloud Gaming (NVIDIA),80.84,2661061.0,0.0,474492,788137,1295114
ARC Raiders,Embark Studios,Embark Studios,30.10.2025,Extraction Shooter | Multiplayer | PvP | PvE | Third-Person Shooter | Post-apocalyptic | Online Co-Op | Shooter | Survival | Sci-fi | Atmospheric | Third Person | Crafting | Inventory Management | Action | Open World | Combat | Futuristic | Character Customization | Realistic,Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Stats | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA) | PvP,86.55,327579.0,31.99,224842,273369,481966
Bongo Cat,Marcel Zurawka | Julius Krüger,Irox Games,05.03.2025,Cats | Free to Play | Clicker | Cute | Casual | Idler | Typing | 2D | Singleplayer | Cartoony | Relaxing | Indie | Software | Simulation | Character Customization | Colorful | Funny | Massively Multiplayer | Co-op | Multiplayer,Single-player | Online Co-op | Steam Achievements | Stats | Multi-player | Co-op,96.14,88407.0,0.0,135441,165340,194508
Marvel Rivals,NetEase Games,NetEase Games,06.12.2024,Free to Play | Multiplayer | Hero Shooter | Third-Person Shooter | Superhero | PvP | Action | Team-Based | Competitive | Shooter | Sexual Content | 3D | Strategy | Online Co-Op | Third Person | Co-op | Sci-fi | FPS | MOBA | Psychological Horror,Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),76.79,364944.0,0.0,130344,136470,644269
Terraria,Re-Logic,Re-Logic,16.05.2011,Open World Survival Craft | Sandbox | Survival | 2D | Multiplayer | Pixel Graphics | Adventure | Crafting | Building | Exploration | Co-op | Open World | Online Co-Op | Indie | Action | RPG | Singleplayer | Replay Value | Platformer | Atmospheric,Single-player | Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Family Sharing | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),96.76,1486528.0,4.99,129857,178742,489886
PUBG: BATTLEGROUNDS,PUBG Corporation,"KRAFTON, Inc.",21.12.2017,Survival | Shooter | Battle Royale | Multiplayer | FPS | PvP | Third-Person Shooter | Action | Online Co-Op | Tactical | Co-op | First-Person | Strategy | Early Access | Competitive | Third Person | Team-Based | Difficult | Simulation | Stealth,Online PvP | Stats | Remote Play on Phone | Remote Play on Tablet | Multi-player | PvP,59.92,2668682.0,14.99,123218,606108,3257248
Deadlock,Valve,Valve,,MOBA | Third-Person Shooter | Multiplayer | Team-Based | Hero Shooter | Competitive | Shooter | Third Person | Action | Early Access | Free to Play | PvP | Online Co-Op | Strategy | Tactical | Co-op | Funny | Sexual Content | Mature | Cute,Multi-player,,,0.0,91241,117346,171490
Rust,Facepunch Studios,Facepunch Studios,08.02.2018,Survival | Crafting | Multiplayer | Open World | Open World Survival Craft | Building | PvP | Sandbox | Adventure | First-Person | Action | Nudity | FPS | Shooter | Co-op | Online Co-Op | Indie | Post-apocalyptic | Early Access | Simulation,MMO | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | In-App Purchases | Stats | Remote Play on Tablet | Multi-player | Valve Anti-Cheat | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),86.53,1320929.0,8.74,64097,140165,262284
Warframe,Digital Extremes,Digital Extremes,25.03.2013,Free to Play | Looter Shooter | Action RPG | Third-Person Shooter | Action | RPG | Third Person | Character Customization | Massively Multiplayer | Online Co-Op | Co-op | PvE | Sci-fi | Singleplayer | Space | Lore-Rich | Shooter | Hack and Slash | Parkour | Ninja,Single-player | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | In-App Purchases | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | HDR Supported | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),86.57,656158.0,0.0,59484,75735,189837
