app_id,app_type,developer,publisher,supported_systems,release_date,rating_percent,reviews_count,tags,categories,hardware_categories,accessibility_categories,price_usd_current,price_usd_lowest,price_eur_current,price_eur_lowest,price_cis_current,price_cis_lowest
730,Game,Valve,Valve,Windows | Linux,21 August 2012 – 17:00:00 UTC,86.04,9357964,FPS | Shooter | Multiplayer | Competitive | Action | Team-Based | eSports | Tactical | First-Person | PvP | Online Co-Op | Co-op | Strategy | Military | War | Difficult | Trading | Realistic | Fast-Paced | Moddable,Cross-Platform Multiplayer | Steam Trading Cards | Steam Workshop | In-App Purchases | Stats | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Steam Timeline | Multi-player | Valve Anti-Cheat | Cloud Gaming | Cloud Gaming (NVIDIA),Native Steam Controller,Adjustable Text Size | Color Alternatives | Camera Comfort | Custom Volume Controls | Stereo Sound | Surround Sound | Playable without Timed Input,N/A,-82%$5.39,N/A,"-82%4,13€",N/A,-82%$3.23
570,Game,Valve,Valve,Windows | Linux,9 July 2013 – 17:00:00 UTC,80.84,2661061,Free to Play | MOBA | Multiplayer | Strategy | eSports | Team-Based | Competitive | Action | Online Co-Op | PvP | Difficult | Co-op | RTS | Tower Defense | RPG | Fantasy | Character Customization | Replay Value | Action RPG | Simulation,Steam Trading Cards | Steam Workshop | SteamVR Collectibles | In-App Purchases | Steam Timeline | Multi-player | Co-op | Valve Anti-Cheat | Cloud Gaming | Cloud Gaming (NVIDIA),,Color Alternatives | Camera Comfort | Custom Volume Controls,,,,,,
1808500,Game,Embark Studios,Embark Studios,Windows,30 October 2025 – 09:30:00 UTC,86.55,327579,Extraction Shooter | Multiplayer | PvP | PvE | Third-Person Shooter | Post-apocalyptic | Online Co-Op | Shooter | Survival | Sci-fi | Atmospheric | Third Person | Crafting | Inventory Management | Action | Open World | Combat | Futuristic | Character Customization | Realistic,Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Stats | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA) | PvP,Full Controller Support | DualShock Controllers (USB Only) | DualShock Controllers | DualSense Controllers (USB Only) | DualSense Controllers,,$39.99,-20%$31.99,"39,99€","-20%31,99€",$39.99,-20%$31.99
3419430,Game,Marcel Zurawka | Julius Krüger,Irox Games,Windows,5 March 2025 – 08:00:23 UTC,96.14,88407,Cats | Free to Play | Clicker | Cute | Casual | Idler | Typing | 2D | Singleplayer | Cartoony | Relaxing | Indie | Software | Simulation | Character Customization | Colorful | Funny | Massively Multiplayer | Co-op | Multiplayer,Single-player | Online Co-op | Steam Achievements | Stats | Multi-player | Co-op,Partial Controller Support | DualShock Controllers (USB Only) | DualShock Controllers | DualSense Controllers (USB Only) | DualSense Controllers,,,,,,,
2767030,Game,NetEase Games,NetEase Games,Windows,6 December 2024 – 00:00:00 UTC,76.79,364944,Free to Play | Multiplayer | Hero Shooter | Third-Person Shooter | Superhero | PvP | Action | Team-Based | Competitive | Shooter | Sexual Content | 3D | Strategy | Online Co-Op | Third Person | Co-op | Sci-fi | FPS | MOBA | Psychological Horror,Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),DualShock Controllers (USB Only) | DualSense Controllers (USB Only) | Full Controller Support | DualShock Controllers | DualSense Controllers,,,,,,,
105600,Game,Re-Logic,Re-Logic,Windows | Linux,16 May 2011 – 17:52:00 UTC,96.76,1486528,Open World Survival Craft | Sandbox | Survival | 2D | Multiplayer | Pixel Graphics | Adventure | Crafting | Building | Exploration | Co-op | Open World | Online Co-Op | Indie | Action | RPG | Singleplayer | Replay Value | Platformer | Atmospheric,Single-player | Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Family Sharing | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),Full Controller Support,,$9.99,-50%$4.99,"9,75€","-50%4,87€",$6.29,-50%$3.14
578080,Game,PUBG Corporation,"KRAFTON, Inc.",Windows,21 December 2017 – 08:05:00 UTC,59.92,2668682,Survival | Shooter | Battle Royale | Multiplayer | FPS | PvP | Third-Person Shooter | Action | Online Co-Op | Tactical | Co-op | First-Person | Strategy | Early Access | Competitive | Third Person | Team-Based | Difficult | Simulation | Stealth,Online PvP | Stats | Remote Play on Phone | Remote Play on Tablet | Multi-player | PvP,,,N/A,-50%$14.99,N/A,"-50%14,99€",N/A,-50%$8.99
1422450,Game,Valve,Valve,Windows,,,,MOBA | Third-Person Shooter | Multiplayer | Team-Based | Hero Shooter | Competitive | Shooter | Third Person | Action | Early Access | Free to Play | PvP | Online Co-Op | Strategy | Tactical | Co-op | Funny | Sexual Content | Mature | Cute,Multi-player,,,,,,,,
2676230,Application,,,Windows,,,,,,,,,,,,,
431960,Application,Wallpaper Engine Team,Wallpaper Engine Team,Windows,16 November 2018 – 18:03:05 UTC,97.27,957317,Mature | Utilities | Anime | Software | Design & Illustration | Animation & Modeling | First-Person | NSFW | Indie | Memes | Cute | Action | Singleplayer | Funny | Early Access | Photo Editing | Sandbox | Gaming | Horror | Game Development,Steam Achievements | Steam Trading Cards | Steam Workshop | Includes level editor | Steam China Workshop,,,$4.99,-10%$3.59,"4,99€","-10%3,59€",$3.29,-10%$2.51
